451.68,511.44,490.67,443.17,426.47,402.83,383.43
401.09,455.12,437.02,393.49,378.64,358.08,341.13
444.33,501.59,489.67,435.5,419.2,395.32,376.08
443.76,500.17,479.88,434.4,418.24,394.13,375.0
399.24,448.15,430.81,389.69,375.42,353.1,335.98
362.94,410.72,389.04,355.2,341.98,322.94,307.8
340.11,395.53,362.73,336.81,323.32,309.82,296.25
349.39,401.84,375.07,344.61,331.17,315.41,301.08
362.02,417.07,389.94,357.55,343.51,327.43,312.51
384.27,441.05,415.68,379.19,364.4,346.64,330.55
392.36,448.1,428.58,386.48,371.58,352.51,335.88
426.12,483.1,468.55,418.72,402.83,380.66,362.21
