441.63,502.25,485.45,434.76,418.09,395.75,376.58
448.93,494.28,488.73,435.22,420.11,390.69,370.74
408.61,477.68,452.31,407.28,390.4,375.21,358.01
452.55,510.15,498.26,444.11,427.45,402.52,382.58
438.56,489.27,478.63,427.6,412.14,386.12,366.91
403.31,448.47,435.63,391.9,377.98,353.59,336.24
366.7,414.41,394.17,359.02,345.67,325.99,310.58
343.84,398.29,368.72,340.36,326.81,312.37,298.38
352.23,407.08,378.61,348.39,334.6,319.42,305.0
363.92,420.33,392.33,359.96,345.71,329.94,314.94
383.15,435.95,413.19,376.56,362.26,342.88,326.74
394.06,453.03,428.87,389.48,374.19,356.13,339.54
