425.97,484.62,465.76,419.1,403.08,381.61,363.31
451.92,508.8,496.43,442.86,426.37,401.36,381.55
418.12,462.06,453.55,404.81,390.69,364.52,346.46
443.02,500.57,485.11,434.56,418.24,394.57,375.34
443.11,496.82,486.29,432.78,416.86,391.87,372.55
423.01,472.61,461.25,411.96,397.03,372.64,354.36
380.56,428.24,409.75,371.17,357.53,336.94,320.97
347.75,395.79,370.63,340.32,327.47,310.66,296.54
345.64,399.74,369.97,341.54,328.02,313.46,299.46
354.36,409.25,380.14,350.01,336.19,321.06,306.62
370.67,428.35,400.18,366.68,352.13,336.27,320.97
381.95,437.25,412.63,376.29,361.74,343.65,327.69
