396.39,469.4,433.3,393.63,377.48,365.33,351.17
453.27,510.43,497.98,443.86,427.34,402.5,382.75
461.22,519.0,507.89,451.95,435.06,409.67,389.25
453.75,502.27,496.39,441.67,425.92,397.38,376.83
437.47,488.67,477.98,427.37,411.74,386.1,366.55
425.35,477.18,463.93,416.28,400.87,376.8,357.91
408.59,455.56,442.92,399.03,384.48,360.14,341.75
381.61,425.05,410.3,372.7,359.13,336.13,318.88
353.94,400.32,378.05,347.25,334.19,315.37,300.12
339.66,390.16,362.02,334.88,321.85,306.3,292.33
337.66,391.55,360.36,333.88,320.63,306.74,293.27
344.51,400.82,368.86,340.85,327.26,313.65,300.16
