463.21,505.97,506.44,450.41,434.61,402.46,379.99
443.63,496.19,475.34,434.23,418.21,392.33,372.26
428.51,474.36,468.14,417.89,402.85,375.84,356.0
453.67,499.03,503.57,441.31,425.66,395.95,374.62
431.95,485.03,458.99,422.12,406.66,382.15,363.62
376.18,424.69,400.03,368.21,354.55,334.18,318.31
348.6,396.98,370.18,342.39,329.38,311.99,297.49
340.54,392.35,364.51,336.03,322.87,307.82,293.94
364.75,423.41,396.63,360.79,346.43,331.67,317.14
392.94,453.08,432.07,387.32,372.2,355.12,339.38
425.08,485.59,469.01,417.85,401.83,381.52,363.89
433.19,492.92,472.09,425.24,409.12,387.47,369.41
