446.0,501.89,485.8,436.49,420.3,395.69,376.32
403.73,457.58,440.25,396.12,381.18,360.25,343.02
454.38,509.4,499.9,444.16,427.82,401.98,382.02
424.94,480.35,460.87,416.51,400.9,378.34,360.11
374.71,428.69,402.19,368.81,354.6,336.8,321.24
348.59,401.73,372.0,343.99,330.52,315.15,300.97
338.85,391.45,361.71,334.67,321.49,306.94,293.24
352.8,405.52,379.11,347.85,334.3,318.32,303.84
378.89,432.15,410.52,372.57,358.31,339.78,323.88
411.17,465.2,448.87,403.19,388.04,366.39,348.76
438.03,492.79,480.34,428.68,412.78,388.57,369.52
457.88,513.2,503.51,447.52,431.07,404.99,384.87
