450.27,506.91,484.33,440.82,424.44,399.68,380.1
402.45,456.86,436.9,395.17,380.2,359.61,342.47
448.71,502.53,496.51,438.66,422.53,396.79,376.91
428.9,484.67,463.23,420.45,404.69,381.84,363.37
378.58,433.74,403.21,372.81,358.41,340.66,325.01
350.2,403.96,371.9,345.71,332.14,316.85,302.63
337.79,390.55,359.55,333.8,320.62,306.24,292.57
350.42,403.07,376.01,345.66,332.16,316.4,302.01
375.5,428.62,406.62,369.42,355.24,337.0,321.24
407.68,461.49,445.33,399.91,384.85,363.47,345.98
435.66,490.21,478.05,426.43,410.6,386.56,367.59
456.01,511.13,501.85,445.75,429.36,403.38,383.32
